source_id,title,text_name,author,tradition,sect,subsect,text_category,language,script,format,size,approx_token_count,source_url,download_url,repository,license,copyright_status,training_permission,redistribution_permission,commercial_permission,translation_status,commentary_status,ocr_status,human_verified,source_quality,provenance_quality,duplicate_risk,sectarian_confidence,recommended_use,notes
SVK-0012,"Shri Dashvaikalik Sutra Ka Hindi Anuvad (1936)","Dasaveyaliya / Daśavaikālika Sūtra",unknown translator,MULTI_TRADITION,UNKNOWN,unknown,MULASUTRA,"hi;pra",Devanagari,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.308533,https://archive.org/download/in.ernet.dli.2015.308533/,Internet Archive,"none declared","1936; pre-1966",TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL,CONDITIONAL,"present (Hindi anuvada)",none,"archive.org OCR Devanagari; moderate",no,MEDIUM,LOW,MEDIUM,MEDIUM,NEEDS_PERMISSION,"Mula-sutra memorised by all new Jain mendicants. High canonical value. Same publisher-attribution gap as the other DLI canon translations."
SVK-0013,"Shri Uttradhyayan Sutra Ka Hindi Anuvaad (1934)","Uttarajjhayanam / Uttarādhyayana Sūtra",unknown translator,MULTI_TRADITION,UNKNOWN,unknown,MULASUTRA,"hi;pra",Devanagari,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.348094,https://archive.org/download/in.ernet.dli.2015.348094/,Internet Archive,"none declared","1934; pre-1966",TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL,CONDITIONAL,"present (Hindi anuvada)",none,"archive.org OCR Devanagari; moderate",no,MEDIUM,LOW,"HIGH (1934 vs 1962 editions)",MEDIUM,NEEDS_PERMISSION,"One of the oldest canon texts. TWO Hindi anuvadas exist (1934 and 1962) - separate works with separate rights. Never merge them."
SVK-0014,"Shri Uttradhyayan Sutra Ka Hindi Anuvaad (1962)","Uttarajjhayanam / Uttarādhyayana Sūtra",unknown translator,MULTI_TRADITION,UNKNOWN,unknown,MULASUTRA,"hi;pra",Devanagari,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.446025,https://archive.org/download/in.ernet.dli.2015.446025/,Internet Archive,"none declared","1962; translator unknown",UNCLEAR,UNCLEAR,UNCLEAR,"present (Hindi anuvada)",none,"archive.org OCR; moderate",no,MEDIUM,LOW,"HIGH (1934 vs 1962 editions)",MEDIUM,NEEDS_PERMISSION,"Distinct edition from SVK-0013. Keep separately addressed so citations are unambiguous."
SVK-0015,"Shri Sutrakratang Sutra (1938)","Suyagada / Sūtrakṛtāṅga Sūtra",unknown translator,MULTI_TRADITION,UNKNOWN,unknown,ANGA,"hi;pra",Devanagari,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.308462,https://archive.org/download/in.ernet.dli.2015.308462/,Internet Archive,"none declared","1938; pre-1966",TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL,CONDITIONAL,"present (Hindi anuvada)",none,"archive.org OCR; moderate",no,MEDIUM,LOW,MEDIUM,MEDIUM,NEEDS_PERMISSION,"Second Anga; among the oldest texts in the canon."
SVK-0016,"Shri Utradhyayan Sutar (Agam Seva) (1920)","Uttarādhyayana Sūtra (Agam Seva edition)",unknown,MULTI_TRADITION,UNKNOWN,unknown,MULASUTRA,"hi;pra",Devanagari,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.545305,https://archive.org/download/in.ernet.dli.2015.545305/,Internet Archive,"none declared","1920; pre-1966",TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL,CONDITIONAL,"present (Hindi anuvada)",none,"archive.org OCR; moderate",no,MEDIUM,LOW,MEDIUM,MEDIUM,NEEDS_PERMISSION,"The 'Agam Seva' series identification may reveal the publishing institution - a lead for the attribution research."
SVK-0017,"Shrimada Gyatadharmkathank Sutra (1964)","Nāyā-dhamma-kahāo / Jñātādharmakathāṅga",unknown,MULTI_TRADITION,UNKNOWN,unknown,ANGA,"hi;pra",Devanagari,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.327713,https://archive.org/download/in.ernet.dli.2015.327713/,Internet Archive,"none declared","1964; translator unknown",UNCLEAR,UNCLEAR,UNCLEAR,"present (Hindi anuvada)",none,"archive.org OCR; moderate",no,MEDIUM,LOW,MEDIUM,MEDIUM,NEEDS_PERMISSION,"Sixth Anga (parable collection). Good candidate for narrative-style instruction data IF rights are cleared."
SVK-0018,"Adhyatmik Pravachno Part-1 (1960)",Adhyatmik Pravachno,"unknown (pravachankar)",MULTI_TRADITION,UNKNOWN,unknown,PRAVACHAN,gu,Gujarati,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.324772,https://archive.org/download/in.ernet.dli.2015.324772/,Internet Archive,"none declared","1960; author unknown",UNCLEAR,UNCLEAR,UNCLEAR,n/a,none,"archive.org OCR; unreliable (Gujarati)",no,MEDIUM,LOW,MEDIUM,LOW,NEEDS_PERMISSION,"Represents the pravachan genre, the tradition's living teaching form. Speaker identity is the key missing metadata."
SVK-0019,"Stavanavali (1960)",Stavanavali,unknown,MULTI_TRADITION,UNKNOWN,unknown,DEVOTIONAL,hi,Devanagari,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.445070,https://archive.org/download/in.ernet.dli.2015.445070/,Internet Archive,"none declared","1960",UNCLEAR,UNCLEAR,UNCLEAR,n/a,none,"archive.org OCR; moderate",no,MEDIUM,LOW,MEDIUM,LOW,NEEDS_PERMISSION,"Stavan (devotional song) collection. Stavans are shared across Jain traditions - do not label Sthanakavasi without evidence."
SVK-0020,"Subodh Jain Pathshala Part I (1964)",Subodh Jain Pathshala,unknown,MULTI_TRADITION,UNKNOWN,unknown,EDUCATIONAL,hi,Devanagari,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/in.ernet.dli.2015.348055,https://archive.org/download/in.ernet.dli.2015.348055/,Internet Archive,"none declared","1964",UNCLEAR,UNCLEAR,UNCLEAR,present,none,"archive.org OCR; moderate",no,MEDIUM,LOW,MEDIUM,LOW,NEEDS_PERMISSION,"Pathshala (religious school) textbook - precisely the kind of material the project needs and precisely the kind that is in copyright. A prime candidate for a permission request."
SVK-0021,"Jain Svetambara Agama Canon in English (with Hindi)","MULTIPLE (Agama canon)",unknown community uploader,MURTIPUJAKA,MURTIPUJAKA,unknown,CANON_ENGLISH,"en;hi","Devanagari;Latin",PDF,"not measured",UNMEASURED,https://archive.org/details/u-08-u-09-u-10-u-11-u-12-2_202210,https://archive.org/download/u-08-u-09-u-10-u-11-u-12-2_202210/,Internet Archive,"none declared",unknown,UNCLEAR,UNCLEAR,UNCLEAR,present,unknown,unknown,no,LOW,LOW,UNKNOWN,"MURTIPUJAKA scope",NEEDS_PERMISSION,"Community upload of unknown provenance that may reproduce a copyrighted English translation set. SCOPE WARNING: Svetambara generally, not specifically Sthanakavasi. Do not use without identifying the underlying edition."
SVK-0022,"GRETIL - E-texts in Prakrit (bulk corpus)",MULTIPLE,MULTIPLE,"JAIN plus non-Jain",UNKNOWN,unknown,PRAKRIT_LITERATURE,"pra;sa","Devanagari;Latin","TEI XML;TXT;HTML","not measured",UNMEASURED,https://gretil.sub.uni-goettingen.de/gretil.html,https://gretil.sub.uni-goettingen.de/gretil.html,"GRETIL (Goettingen)","none declared at site level; per-contribution rights","varies per text; likely PD editions",TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL,CONDITIONAL,varies,none,"n/a (born-digital transcription)",no,"HIGH (typed Unicode beats OCR)",LOW,low,UNKNOWN,NEEDS_PERMISSION,"THE MOST IMPORTANT TYPED PRAKRIT SOURCE found, and it removes OCR from the critical path. Verified: a Jaina section, a Prakrit section, a bulk 'Download All Prakrit Texts', and migration to TEI. NO site licence - rights are per contribution. Enumerate file by file and record each contributor."
SVK-0023,"GRETIL - Jaina texts in Sanskrit",MULTIPLE,MULTIPLE,JAIN,UNKNOWN,unknown,"PHILOSOPHY;COMMENTARY",sa,"Devanagari;Latin","TEI XML;TXT","not measured",UNMEASURED,https://gretil.sub.uni-goettingen.de/gretil.html,https://gretil.sub.uni-goettingen.de/gretil.html,"GRETIL (Goettingen)","none declared at site level","varies",TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL,CONDITIONAL,varies,some,"n/a (born-digital transcription)",no,HIGH,LOW,low,UNKNOWN,NEEDS_PERMISSION,"Includes late Sanskrit Jain philosophy from both Svetambara and Digambara authors - sect tagging must be done per text, never at the collection level."
SVK-0024,"dataspoof/Jains - Sastravarttasamuccaya",Sastravarttasamuccaya,Haribhadrasuri,SVETAMBARA,UNKNOWN,unknown,PHILOSOPHY,sa,"IAST;Devanagari",CSV,"120329 bytes",UNMEASURED,https://huggingface.co/datasets/dataspoof/Jains,https://huggingface.co/datasets/dataspoof/Jains,Hugging Face,"none declared","derived from GRETIL; upstream rights inherit","TRAINING_NOT_ALLOWED (unlicensed derivative)",NO,NO,MIXED,present,"file is typed text; quality unknown",no,MEDIUM,LOW,low,LOW,RAG_ONLY,"Do NOT use this derivative for training. Source the plain text directly from GRETIL (SVK-0023) and record the contributor - i.e. remove the extra unlicensed layer."
SVK-0025,"shethjenil/JainBooks","MULTIPLE (includes Trisastisalakapurusacaritra)",MULTIPLE,JAIN,UNKNOWN,unknown,MULTIPLE,"sa;pra;gu;en",Mixed,Parquet,"3907202 bytes","UNMEASURED",https://huggingface.co/datasets/shethjenil/JainBooks,https://huggingface.co/datasets/shethjenil/JainBooks,Hugging Face,"none declared",unknown,UNCLEAR,NO,NO,MIXED,unknown,"typed text; quality unknown",no,MEDIUM,LOW,UNKNOWN,UNKNOWN,NEEDS_PERMISSION,"The dataset card carries NO source attribution and NO licence. Unknown provenance is disqualifying for training. Reachable only by contacting the uploader."
SVK-0026,"Atma3.1-ShareGPT (Atma Siddhi Shastra)","Atma Siddhi Shastra (Shrimad Rajchandra)",Shrimad Rajchandra,JAIN,GENERIC_JAIN,unknown,INSTRUCTION_DATA,en,Latin,JSONL,"1693875 bytes","~2M (estimate)",https://huggingface.co/datasets/HappyAIUser/Atma3.1-ShareGPT,https://huggingface.co/datasets/HappyAIUser/Atma3.1-ShareGPT,Hugging Face,apache-2.0,"modern text; dataset licence is clear",TRAINING_ALLOWED,YES,YES,present,"unknown (English annotations)",n/a,unknown,GOOD,HIGH,"UNKNOWN (content may overlap other sources)","LOW (not Sthanakavasi)",TRAIN,"THE CLEANEST modern Jain instruction dataset found (7000+ lines, Apache-2.0). Tag GENERIC_JAIN, never Sthanakavasi. Verify whether the annotation layer is literal translation, interpretive summary, or contextual explanation before mixing into SFT."
SVK-0027,"Deshika - Maharashtri Prakrit to English Parallel Corpus","MULTIPLE Prakrit passages",MULTIPLE,"JAIN plus classical",UNKNOWN,unknown,PARALLEL_CORPUS,"pra;en",Mixed,CSV,"1K<n<10K rows",UNMEASURED,https://huggingface.co/datasets/VIITPune/Deshika-Maharashtri_Prakrit_to_English_Parallel_Corpus,https://huggingface.co/datasets/VIITPune/Deshika-Maharashtri_Prakrit_to_English_Parallel_Corpus,Hugging Face,apache-2.0,clear,TRAINING_ALLOWED,YES,YES,present,none,n/a,unknown,HIGH,HIGH,low,"LANGUAGE MISMATCH (Maharashtri not Ardhamagadhi)",TRAIN,"The ONLY Prakrit-language dataset found on the Hub (language tag: pra). Value is as a translation fine-tuning signal and as a template for building the Ardhamagadhi parallel set. The language mismatch must be recorded, not glossed."
SVK-0028,"Jain Literature Open Repository (JLOR)","MULTIPLE (Agamas, Anuyogas, acarya works)",MULTIPLE,JAIN,UNKNOWN,unknown,"CANON plus SECONDARY","pra;sa;hi;en",Mixed,"Text;PDF","114430 KB",UNMEASURED,https://github.com/jainqq-org/JLOR,https://github.com/jainqq-org/JLOR,GitHub,NOASSERTION,unknown,TRAINING_NOT_ALLOWED,NO,NO,"MIXED (includes disclosed AI-generated translations)",some,varies,no,varies,LOW,UNKNOWN,LOW,RESEARCH_ONLY,"VERIFIED: license NOASSERTION and pushed_at 2024-09-17 (dormant ~2 years). Contains AI-generated translations (Gemini 1.5 Flash, Claude Haiku per its own README). Unlicensed plus machine-translated means it cannot be trained on or redistributed. Approach the org for an explicit per-item licence grant."
SVK-0029,"Jainaagam - all 45 Jain Aagam","MULTIPLE (45 Agamas)",MULTIPLE,MURTIPUJAKA,MURTIPUJAKA,unknown,"ANGA;UPANGA;CHEDA;MULA;PRAKIRNAKA","pra;hi;gu;en",Mixed,"Vue;JSON","3942 KB",UNMEASURED,https://github.com/jainism-portal/jainaagam,https://github.com/jainism-portal/jainaagam,GitHub,"none (license: null)",unknown,UNCLEAR,NO,NO,MIXED,present,"typed text; quality unknown",no,MEDIUM,LOW,UNKNOWN,UNKNOWN,NEEDS_PERMISSION,"VERIFIED: GitHub reports license null (all rights reserved) and pushed_at 2023-01-26 (dormant ~3.5 years). SCOPE WARNING: its own description says 45 Agamas = Murtipujaka canon. MUST be tagged MURTIPUJAKA_45, never Sthanakavasi. Highest-value POTENTIAL asset if a licence can be obtained."
SVK-0030,"Jain eLibrary",MULTIPLE,MULTIPLE,JAIN,UNKNOWN,unknown,LIBRARY,"pra;sa;hi;gu;en",Mixed,"PDF (library)","not measured",UNMEASURED,https://jainelibrary.org/,registration-gated,"Jain eLibrary (Shri Mahavir Aradhana Kendra)","NO TERMS DISCOVERABLE",unknown,TRAINING_NOT_ALLOWED,NO,NO,varies,varies,varies,no,varies,UNKNOWN,UNKNOWN,UNKNOWN,NEEDS_PERMISSION,"Homepage is a JS app that renders no terms or licence text server-side (verified). Registration-gated. Under the standing rule that online availability is not permission, this library is OUT OF SCOPE until written permission is obtained. It is also the corpus behind JainGPT, so an agreement here would be strategically significant."
SVK-0031,"OPenn Jain manuscript collections (Ms. Indic 20, 25, 9, 15)",MULTIPLE,MULTIPLE,SVETAMBARA,JAIN,unknown,MANUSCRIPT,"pra;sa;gu",Mixed,"Images;TEI","not measured","n/a (image corpus)",https://openn.library.upenn.edu/,https://openn.library.upenn.edu/Data/0002/html/msindic20.html,"University of Pennsylvania","CC-BY-4.0 (per prior research; RE-VERIFY per item)","historical manuscripts",TRAINING_ALLOWED_WITH_CONDITIONS,CONDITIONAL,CONDITIONAL,varies,some,REQUIRES_OCR_PIPELINE,no,HIGH,MEDIUM,UNKNOWN,UNKNOWN,OCR_ONLY,"Use for manuscript OCR/VLM research and layout/diagram work, NOT as a text corpus. Re-verify item-level rights before publishing anything derived."
SVK-0032,"Wikipedia Jain-topic articles",Various,"MULTIPLE contributors",JAIN,UNKNOWN,unknown,ENCYCLOPEDIC,"en;hi","Devanagari;Latin","Wikitext;HTML","not measured",UNMEASURED,https://en.wikipedia.org/wiki/Sthanakavasi,https://dumps.wikimedia.org/,Wikimedia,CC-BY-SA-4.0,"current works",TRAINING_ALLOWED_WITH_CONDITIONS,"YES (with attribution)",CONDITIONAL,varies,MIXED,n/a,no,MEDIUM,HIGH,"HIGH (mirrors elsewhere)","LOW",RAG_ONLY,"TRAILING-SHAREALIKE HAZARD: ShareAlike may propagate to a derived dataset. KEEP OUT OF THE CORE CORPUS. Use only as a separate attributed retrieval lane, or not at all."
SVK-0033,"Jain Dharm Aur Darshan (2018)",Jain Dharm Aur Darshan,unknown,JAIN,UNKNOWN,unknown,EXPOSITION,hi,Devanagari,PDF,"not measured",UNMEASURED,https://archive.org/details/JainDharmAurDarshan,https://archive.org/download/JainDharmAurDarshan/,Internet Archive,CC-BY-ND-3.0,"2018; in copyright","CC-BY-ND-3.0 (NoDerivatives)",NO,NO,n/a,none,unknown,no,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,DO_NOT_USE,"NoDerivatives forbids normalisation, segmentation, correction and OCR cleaning - i.e. every step of our pipeline. Modern Jain texts under ND are structurally unusable regardless of quality."
SVK-0034,"chaturmas-suchi - Shri Vardhaman Sthanakvasi Jain Shraman Sangh",Chaturmas directory,ankj77 (contributor),STHANAKAVASI,STHANAKAVASI,"Vardhaman Sthanakvasi Jain Shraman Sangh",DIRECTORY,"hi;en","Devanagari;Latin","HTML;JSON","271 KB","small",https://github.com/ankj77/chaturmas-suchi,https://github.com/ankj77/chaturmas-suchi,GitHub,"none","2026; in copyright",UNCLEAR,NO,NO,n/a,n/a,n/a,no,MEDIUM,HIGH,low,HIGH,RESEARCH_ONLY,"THE ONLY GitHub repository matching 'sthanakvasi' (verified: GitHub search total_count = 1). Not a corpus, but strategically valuable: it identifies a real active Sthanakvasi monastic order by name and provides monastic-placement metadata. Use it to seed institutional outreach."
SVK-0035,"JainGPT / JainQQ / AI-Yashvi",n/a,n/a,JAIN,UNKNOWN,unknown,SYSTEMS,n/a,n/a,n/a,n/a,n/a,https://jaingpt.com/,n/a,n/a,n/a,n/a,TRAINING_NOT_ALLOWED,NO,NO,n/a,n/a,n/a,n/a,UNKNOWN,UNKNOWN,n/a,UNKNOWN,RESEARCH_ONLY,"Systems, not sources. Their corpora, licences, ranking methods and evaluation are undisclosed. Study their citation UX and failure modes; do NOT harvest their outputs into our corpus, which would import unlicensed and unverified text."
SVK-0036,"Jainendra Siddhanta Kosa Part 1 (1990)",Jainendra Siddhanta Kosa,K. Jinendra Varni,JAIN,UNKNOWN,unknown,"LEXICON;ENCYCLOPAEDIA",hi,Devanagari,"PDF;DjVuTXT","not measured",UNMEASURED,https://archive.org/details/jainendra-siddhanta-kosa-part-1-by-k.-jinendra-varni-1990-new-delhi-bharatiya-jananapith,https://archive.org/download/jainendra-siddhanta-kosa-part-1-by-k.-jinendra-varni-1990-new-delhi-bharatiya-jananapith/,Internet Archive,"CC0-1.0 (uploader-asserted)","1990; in copyright",TRAINING_NOT_ALLOWED,NO,NO,n/a,n/a,unknown,no,HIGH,LOW,UNKNOWN,UNKNOWN,NEEDS_PERMISSION,"THE CC0 TRAP WORKED EXAMPLE: an authoritative Jain encyclopaedia published in 1990 but tagged CC0 by a patron library. The tag is almost certainly invalid. Do not train on it. Illustrates why the manifest cannot trust uploader licence tags for modern works."
