source_id,acquisition_repository,acquisition_identifier,publication_year,author_death_year,publisher,license_evidence_url,copyright_basis,license_confidence,uploader_asserted,ia_rights_statement,ocr_required,verification_required,curation_note
SVK-0036,internet_archive,jainendra-siddhanta-kosa-part-1-by-k.-jinendra-varni-1990-new-delhi-bharatiya-jananapith,1990,unknown,"Bharatiya Jnanapith, New Delhi",https://archive.org/details/jainendra-siddhanta-kosa-part-1-by-k.-jinendra-varni-1990-new-delhi-bharatiya-jananapith,CC0-1.0 asserted by a patron library for a 1990 publication. The assertion is not credible: a work first published in 1990 is in copyright.,low,true,false,true,true,THE WORKED EXAMPLE of why uploader CC0 tags are not treated as proof of clearance.
SVK-0037,internet_archive,ksu.u3791.illustratedardha0000acwo,1923,unknown,SS Jain Conference (publisher),https://archive.org/details/ksu.u3791.illustratedardha0000acwo,No licence declared; third independent digitisation of the 1923 Ardha Magadhi Dictionary vol 1.,low,false,false,true,true,Karnataka Sanskrit University / ServantsOfKnowledge holding.
SVK-0038,internet_archive,notesonmodernjai00steviala,1910,unknown,unknown,https://archive.org/details/notesonmodernjai00steviala,Pre-1930 publication. IA item metadata records the item as public domain.,medium,false,false,true,true,EXPLICITLY discusses the Sthanakavasi sect - the only cleared English source in the corpus that names the tradition.
SVK-1001,internet_archive,gainastras01aco,1884,unknown,"Clarendon Press, Oxford",https://archive.org/details/gainastras01aco,Pre-1930 publication plus Internet Archive rights statement NOT_IN_COPYRIGHT.,high,false,true,true,false,Jacobi's translation of the Acaranga and Sutrakrtanga Sutras - central canon texts in English.
SVK-1002,internet_archive,kalpasutranavata00stevrich,1848,unknown,unknown,https://archive.org/details/kalpasutranavata00stevrich,Pre-1930 publication plus Internet Archive rights statement NOT_IN_COPYRIGHT.,high,false,true,true,false,1848 Kalpa Sutra and Nava Tatva translation.
SVK-1003,internet_archive,kalpasutraandna00bhadgoog,1848,unknown,unknown,https://archive.org/details/kalpasutraandna00bhadgoog,Pre-1930 publication plus Internet Archive rights statement NOT_IN_COPYRIGHT.,high,false,true,true,false,"Second digitisation of SVK-1002, acquired deliberately as a real duplicate test case."
SVK-1004,internet_archive,storyofkalakatex00brow,1933,unknown,unknown,https://archive.org/details/storyofkalakatex00brow,Internet Archive records: 'Not in copyright. The Library knows of no copyright restrictions on this item.' The Indian term has not been independently verified.,medium,false,true,true,true,"Svetambara hagiography (Kalakacaryakatha). Rights rest on a library statement, not a licence."
SVK-1005,internet_archive,anoutlinereligi00farqgoog,1920,unknown,unknown,https://archive.org/details/anoutlinereligi00farqgoog,Pre-1930 publication plus Internet Archive rights statement NOT_IN_COPYRIGHT.,high,false,true,true,false,Colonial-era survey with a Jain section.
SVK-1006,internet_archive,jaina-psychology,1929,unknown,unknown,https://archive.org/details/jaina-psychology,"Pre-1930 publication. No IA rights statement on the item, so the date is the only basis.",medium,false,false,true,true,Author not confirmed from metadata.
SVK-1007,internet_archive,essaidebibliogr01gugoog,1906,unknown,unknown,https://archive.org/details/essaidebibliogr01gugoog,Pre-1930 publication plus Internet Archive rights statement NOT_IN_COPYRIGHT.,high,false,true,true,false,French bibliography; retained and reported separately rather than silently dropped.
SVK-1008,internet_archive,in.gov.ignca.19947,1911,unknown,Indira Gandhi National Centre for the Arts (holding),https://archive.org/details/in.gov.ignca.19947,Pre-1930 publication only. No IA rights statement on the item.,medium,false,false,true,true,Provenance quality recorded as low because no rights statement exists.
SVK-1009,internet_archive,in.gov.ignca.15558,1929,unknown,Indira Gandhi National Centre for the Arts (holding),https://archive.org/details/in.gov.ignca.15558,Pre-1930 publication only. No IA rights statement on the item.,medium,false,false,true,true,Provenance quality recorded as low.
SVK-1010,internet_archive,in.ernet.dli.2015.543343,1917,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.543343,"DLI item with no licence, no rights field and no possible-copyright-status field. Pre-1930 date is the only basis.",low,false,false,true,true,"A Svetambar Conference periodical - sectarily the most interesting 1917 item found, and precisely the class of material the project cannot yet use."
SVK-2001,internet_archive,pqpj_ardha-magadhi-kosh-and-maharashti-deshya-prakrit-kosh-ed-by-ratna-chandra-1938-a,1938,unknown,"Shri Shvetambar Sthanak Vasi Jain Conference, Agra",https://archive.org/details/pqpj_ardha-magadhi-kosh-and-maharashti-deshya-prakrit-kosh-ed-by-ratna-chandra-1938-a,CC0-1.0 asserted by the uploader. 1938 publication; compiler death year undocumented; the Indian life+60 term cannot be confirmed expired on documented facts.,low,true,false,true,true,Flagship Round-2 item (Sthanakvasi Conference Prakrit lexicon with Maharashtri Desya section). Gate lands WITH_CONDITIONS; release floor holds it out of both products until the death year is documented. Top Round-3 permission/research target.
SVK-2002,internet_archive,in.ernet.dli.2015.399871,1932,1936,SS Jain Conference (original publisher); DLI scan,https://en.wikipedia.org/wiki/Alfred_Cooper_Woolner,"Editor Alfred C. Woolner died 1936-01-07 (Wikipedia; Wikidata Q4647084). 1936+60=1996 < 2026, so the copyright term has expired. The DLI scan itself carries no rights fields; the basis is the expired term, not platform metadata.",medium,false,false,true,true,First Gujarati-script Prakrit dictionary admitted on a verified death year. Gujarati OCR quality unknown; measure before trusting.
SVK-2003,internet_archive,in.ernet.dli.2015.399872,1930,1936,SS Jain Conference (original publisher); DLI scan,https://en.wikipedia.org/wiki/Alfred_Cooper_Woolner,Editor died 1936-01-07; 1930 publication; R25_LIFE_PLUS_60_EXPIRED. DLI scan carries no rights fields.,medium,false,false,true,true,Same verified rights basis as SVK-2002; philosophic and scientific terminology volume.
SVK-2004,internet_archive,in.ernet.dli.2015.399104,1927,1936,SS Jain Conference (original publisher); DLI scan,https://en.wikipedia.org/wiki/Alfred_Cooper_Woolner,Editor died 1936-01-07; 1927 publication; R25 and pre-1930 R70 both apply.,medium,false,false,true,true,"Quadrilingual edition. Possible overlap with SVK-0007 Vol 2 (1927): relation recorded, cross-edition dedup decides at unit level."
SVK-2005,internet_archive,in.ernet.dli.2015.342545,1923,unknown,SS Jain Conference (original publisher); DLI scan,https://archive.org/details/in.ernet.dli.2015.342545,"1923 publication, pre-1930 (R70). Compiler death year undocumented, so R25 is unavailable and license_confidence stays medium with verification required.",medium,false,false,true,true,Independent 1923 DLI scan of dictionary vol 5; near-duplicate test against SVK-0007's scan of the same edition.
SVK-2006,internet_archive,paiasaddamahaavo0000seth,1923,1940,Calcutta (author-era publication); University of Toronto scan,https://archive.org/details/paiasaddamahaavo0000seth,"Compiler dates 1888-1940 recorded in the IA bibliographic creator field; 1940+60=2000 < 2026 (R25). The Toronto scan carries no licence fields; the basis is the expired term, not platform metadata.",medium,false,false,true,true,"The canonical Prakrit lexicon, 4 vols in 1, 1408 scans. IA OCR metadata reports detected language 'ne' (Nepali) at confidence 1.0 for a Prakrit-Hindi dictionary: retained as a live example of why OCR language detection is never trusted."
SVK-2007,internet_archive,in.ernet.dli.2015.348701,1928,1940,Motilal Banarsidass,https://archive.org/details/in.ernet.dli.2015.348701,Compiler died 1940; 1928 publication; R25. DLI scan carries no rights fields.,medium,false,false,true,true,MLB edition of SVK-2006; relation_type=edition_of; cross-edition near-duplicate test case.
SVK-2008,internet_archive,IntroductionToPrakritWoolner_bookmarked,1917,1936,unknown,https://en.wikipedia.org/wiki/Alfred_Cooper_Woolner,Author died 1936-01-07; 1917 publication; R25 and R70 both apply.,medium,false,false,true,false,Born-digital bookmarked PDF; expects a text layer rather than OCR. Standard English grammar of Prakrit.
SVK-2009,internet_archive,in.ernet.dli.2015.65389,1928,1936,Motilal Banarsidass,https://en.wikipedia.org/wiki/Alfred_Cooper_Woolner,Author died 1936-01-07; 1928 publication; R25. DLI scan carries no rights fields.,medium,false,false,true,true,Revised edition of SVK-2008; relation_type=edition_of.
SVK-2010,internet_archive,in.ernet.dli.2015.306075,1928,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.306075,"1928 publication, pre-1930 (R70). Author death year undocumented.",medium,false,false,true,true,Title names the sect directly in period transliteration; sect_confidence medium on title_and_bibliographic_record basis - never upgraded silently.
SVK-2011,internet_archive,in.ernet.dli.2015.306580,1913,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.306580,"1913 publication, pre-1930 (R70). Author death year undocumented.",medium,false,false,true,true,Early modern Gujarati Jain prose; sect unknown and deliberately not labelled Sthanakvasi.
SVK-2012,internet_archive,in.ernet.dli.2015.306156,1921,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.306156,"1921 publication, pre-1930 (R70).",medium,false,false,true,true,Generic modern-era Jain Gujarati; P3 retrieval/background value.
SVK-2013,internet_archive,in.ernet.dli.2015.358432,1908,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.358432,"1908 publication, pre-1930 (R70).",medium,false,false,true,true,Earliest Gujarati Jain candidate found this round.
SVK-2014,internet_archive,in.ernet.dli.2015.358666,1927,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.358666,"1927 publication, pre-1930 (R70).",medium,false,false,true,true,"Sajjhaya practice literature is Sthanakvasi-adjacent; the edition's sectarian identity is unverified, so sect stays unknown with the evidence recorded."
SVK-2015,internet_archive,in.ernet.dli.2015.406853,1928,unknown,"Surat, Sheth Devchand Lalbhai Jain Pustakbhandar",https://archive.org/details/in.ernet.dli.2015.406853,DLI item no rights metadata. 1928 publication pre-1930. Avashyaka Sutra.,low,false,false,true,true,Avashyaka Sutra Part 1 by Bhadrabahu. Publisher: Surat, Sheth Devchand Lalbhai Jain Pustakbhandar. 621 pages.
SVK-2016,internet_archive,in.ernet.dli.2015.445046,1928,unknown,"Bikaner, Champalal Gani Jain Grantmala",https://archive.org/details/in.ernet.dli.2015.445046,DLI item no rights metadata. 1928 publication pre-1930.,low,false,false,true,true,Panch-pratikraman Hindi practice text. Publisher: Bikaner, Champalal Gani Jain Grantmala. 368 pages.
SVK-2017,internet_archive,dli.ernet.520259,1939,unknown,Gujrat Vidyapith Library,https://archive.org/details/dli.ernet.520259,DLI item no rights metadata. 1939 publication.,low,false,false,true,true,Pratikraman Sutra with meaning and dialogue in Gujarati. Source library: Gujrat Vidyapith Library.
SVK-2018,internet_archive,in.ernet.dli.2015.341224,unknown,unknown,"Aagara, Sanmati Gianpith",https://archive.org/details/in.ernet.dli.2015.341224,DLI item with copyright permitted per dc.rights.,low,false,false,true,true,Shrawak Pratikraman Sutra by Shastri Vijay Muni. Publisher: Aagara, Sanmati Gianpith. 168 pages.
SVK-2019,internet_archive,in.ernet.dli.2015.344399,1916,unknown,"Ajmer, Jain Printing Press",https://archive.org/details/in.ernet.dli.2015.344399,DLI item copyright permitted. 1916 publication pre-1930 (R70).,medium,false,false,true,true,Kalpa Sutra core canonical text (AGAM-015). Prakrit original + Hindi translation. Publisher: Ajmer, Jain Printing Press.
SVK-2020,internet_archive,in.ernet.dli.2015.548771,1918,unknown,"Samyak Gyan Pracharak Mandal, Jaipur",https://archive.org/details/in.ernet.dli.2015.548771,DLI item. 1918 publication pre-1930 (R70). No explicit rights statement.,low,false,false,true,true,Uttaradhyayana Sutra Vol I in Sanskrit with critical apparatus. Publisher: Samyak Gyan Pracharak Mandal, Jaipur. 340 pages.
SVK-2021,internet_archive,in.ernet.dli.2015.545305,1920,unknown,unknown,https://archive.org/details/in.ernet.dli.2015.545305,DLI item. 1920 publication pre-1930 (R70). No explicit rights statement.,low,false,false,true,true,Uttaradhyayana Sutra in Hindi translation (Agam Seva series). Publisher unknown. 216 pages.
